national_code,date_granted,label,amount_approved,count_installment,num_loans,age,sex,marital_status,current_installments_amount_guarantee,num_negative_status_last_2years,num_negative_status_before_2years,total_early_payment,total_delayed_payment,max_installment_amount,oldest_loan_age,complete_last_payment_age,num_prev_0_1_yearLoans,num_prev_1_3_yearsLoans,guarantor_role,negstatus_guarantor_last_12_month,negstatus_guarantor_before_12_month,completed_to_all_loan_amount,variety_prev_purpose,outstanding_debt_ratio,sarresid_gozashte_6_month,sarresid_gozashte_6_18_month,sarresid_gozashte_18_120_month,moavagh_12_month,moavagh_12_120_month,mashkookolvosol_12_month,mashkookolvosol_12_120_month,worst_negative_status_last_2years,total_complete_installments_5years,total_current_installments,age_last_negative_status
hash_14011227_183250,14000412,0,607610217.5,22,1,34,مرد,متاهل,34275770.69,0,0,.,.,18754985.38,797,.,1,1,1,0,0,.,1,0.557377049,0,0,0,0,0,0,0,,.,18754985.38,.
hash_14011227_46145,14001216,0,327457789.4,18,5,46,مرد,مجرد,138003049.1,0,4,0,14,47722255.65,4158,727,1,3,1,0,23,0.234793571,3,0.189189189,0,0,4,0,0,0,0,,47722255.65,0,3028
hash_14011227_44561,14000519,0,490750555.7,12,1,40,مرد,مجرد,4619797319,0,0,.,.,8117177.954,755,.,1,1,1,0,0,.,1,0,0,0,0,0,0,0,0,,.,0,.
hash_14011227_105108,14000903,0,524903512.3,10,1,44,مرد,مجرد,0,4,2,.,.,17011524.6,2198,.,1,0,0,.,.,.,1,0.570588235,0,2,4,0,0,0,0,سررسید گذشته,.,17011524.6,429
hash_14011227_41649,14000616,0,566212361.7,36,1,39,مرد,متاهل,0,0,0,.,.,17843818.18,721,.,1,1,0,.,.,.,1,0.606557377,0,0,0,0,0,0,0,,.,17843818.18,.
hash_14011227_68314,14001103,0,164096398.2,11,15,35,زن,مجرد,300960865.4,12,95,0,217,101788362.6,2924,33,3,5,1,0,8,0.277415536,3,0.507015251,2,5,46,0,22,0,8,معوق,95308634.34,288298155.3,27
hash_14011227_84710,14000902,0,507406728.5,23,5,51,زن,متاهل,198362545.1,0,0,0,1042,84829042.31,3391,489,2,2,1,0,0,0.406645287,3,0.854150903,0,0,0,0,0,0,0,,128609673.1,47141221.37,.
hash_14011227_165886,14000727,0,364202145.5,24,4,43,مرد,مجرد,0,0,0,0,2043,124137857.1,3978,121,2,1,0,.,.,0.601743265,2,0.094614624,0,0,0,0,0,0,0,,125808609.8,0,.
hash_14011227_178527,14000726,0,600933540.1,11,2,35,مرد,مجرد,42688606.02,0,0,0,0,101192315.9,1485,406,1,1,1,0,.,0.74293667,2,0,0,0,0,0,0,0,0,,101192315.9,0,.
hash_14011227_192968,14000720,0,386054274.3,17,4,51,زن,متاهل,0,1,0,0,18,100722725.3,1554,441,1,1,0,.,.,0.103802762,2,0.657101104,0,0,1,0,0,0,0,سررسید گذشته,51350423.78,101905517.4,574
hash_14011227_107760,14000311,0,627404335.3,22,1,46,مرد,متاهل,0,0,0,.,.,1032873.132,352,.,2,0,0,.,.,.,1,0,0,0,0,0,0,0,0,,.,0,.
hash_14011227_34152,14000519,0,588900666.9,36,1,38,مرد,متاهل,0,0,0,0,0,35046260.03,2005,909,1,0,0,.,.,1,1,0,0,0,0,0,0,0,0,,35046260.03,0,.
hash_14011227_119483,14000610,0,566212361.7,36,2,41,مرد,متاهل,30405435.07,1,0,83,60,218157179.7,853,73,1,2,1,0,1,1,2,0,0,1,0,0,0,0,0,سررسید گذشته,256231300.4,0,463
hash_14011227_98247,14000727,0,728404291,36,3,37,مرد,متاهل,14273726.55,0,0,0,30,34469907.3,1636,458,1,1,1,0,0,0.242468538,1,0.719816624,0,0,0,0,0,0,0,,34469907.3,33549439.77,.
